school_name,closed_year,school_level,sigungu_name,utilization_status,building_area_sqm,site_area_sqm,road_address,lot_address,office_name,data_asof
양평부안초,2004,초등학교,양평군,대부,1110,9709,경기도 양평군 단월면 단월로 302-17,경기도 양평군 단월면 부안리 236-1,양평교육지원청,2025-12-01
양평단월초산음분교장,2001,초등학교,양평군,대부,723,7175,경기도 양평군 단월면 봉미산샘골길 1,경기도 양평군 단월면 산음리 231-1,양평교육지원청,2025-12-01
석장초,1996,초등학교,양평군,대부,1009,7452,경기도 양평군 개군면 석장길 60-6,경기도 양평군 개군면 석장리 177,양평교육지원청,2025-12-01
부안초명성분교장,1995,초등학교,양평군,대부,390,5040,경기도 양평군 단월면 분지울2길 6-4,경기도 양평군 단월면 명성리 144-2,양평교육지원청,2025-12-01
청운초신론분교장,1994,초등학교,양평군,대부,1412,4999,경기도 양평군 청운면 신론로 346,경기도 양평군 청운면 신론리 291-3,양평교육지원청,2025-12-01
강남초,1994,초등학교,양평군,대부,756,11613,경기도 양평군 강하면 동오3길 21,경기도 양평군 강하면 동오리 178-1,양평교육지원청,2025-12-01
금왕초,1994,초등학교,양평군,대부,1088,10319,경기도 양평군 양동면 양동로 1112,경기도 양평군 양동면 금왕리 732,양평교육지원청,2025-12-01
탄벌초목현분교장,1995,초등학교,광주시,자체활용,0,6625,,경기도 광주시 목현동 418-1,광주하남교육지원청,2025-12-01
도수초삼성분교장,1995,초등학교,광주시,자체활용,291,3094,경기도 광주시 남종면 태허정로437-45,경기도 광주시 남종면 삼성리 347,광주하남교육지원청,2025-12-01
분원초검천분교장,1995,초등학교,광주시,대부,775,7307,경기도 광주시 남종면 산수로2600,경기도 광주시 남종면 검천리 114-1,광주하남교육지원청,2025-12-01
만선초봉현분교장,1995,초등학교,광주시,대부,0,5999,,경기도 광주시 곤지암읍 봉현리 118-1,광주하남교육지원청,2025-12-01
장명초장일분교장,2025,초등학교,화성시,미활용,1013,9893,경기도 화성시 장안면 온수골2길 18,경기도 화성시 장안면 장안리 1075-87,화성오산교육지원청,2025-12-01
서신초제부분교장,2020,초등학교,화성시,미활용,2765,13588,경기도 화성시 서신면 제부말길 74,경기도 화성시 서신면 제부리 23-1,화성오산교육지원청,2025-12-01
구.상신초,2017,초등학교,화성시,대부,3087,14229,경기도 화성시 향남읍 상신초교길 52,경기도 화성시 향남읍 상신리 874,화성오산교육지원청,2025-12-01
