year,dong_code,sido_name,sigungu_name,dong_name,population
2019,1147065000,서울특별시,양천구,신정4동,34763
2019,1147067000,서울특별시,양천구,신정6동,25279
2019,1147068000,서울특별시,양천구,신정7동,30695
2019,1150051000,서울특별시,강서구,염창동,42455
2019,1150052000,서울특별시,강서구,등촌제1동,23496
2019,1150053000,서울특별시,강서구,등촌제2동,21736
2019,1150053500,서울특별시,강서구,등촌제3동,32310
2019,1150054000,서울특별시,강서구,화곡제1동,53420
2019,1150055000,서울특별시,강서구,화곡제2동,19163
2019,1150056000,서울특별시,강서구,화곡제3동,22536
2019,1150057000,서울특별시,강서구,화곡제4동,21674
2019,1150059000,서울특별시,강서구,화곡본동,35485
2019,1150059100,서울특별시,강서구,화곡제6동,24900
2019,1150059300,서울특별시,강서구,화곡제8동,25996
2019,1150060300,서울특별시,강서구,가양제1동,33806
2019,1150060400,서울특별시,강서구,가양제2동,15052
2019,1150060500,서울특별시,강서구,가양제3동,16086
2019,1150061100,서울특별시,강서구,발산제1동,38348
2019,1150061500,서울특별시,강서구,우장산동,44578
2019,1150062000,서울특별시,강서구,공항동,27372
2019,1150063000,서울특별시,강서구,방화제1동,45356
2019,1150064000,서울특별시,강서구,방화제2동,23716
2019,1150064100,서울특별시,강서구,방화제3동,24311
2019,1153051000,서울특별시,구로구,신도림동,36849
2019,1153052000,서울특별시,구로구,구로제1동,21621
2019,1153053000,서울특별시,구로구,구로제2동,25313
2019,1153054000,서울특별시,구로구,구로제3동,24280
2019,1153055000,서울특별시,구로구,구로제4동,20911
2019,1153056000,서울특별시,구로구,구로제5동,29812
2019,1153059500,서울특별시,구로구,가리봉동,9350
2019,1153072000,서울특별시,구로구,고척제1동,23706
2019,1153073000,서울특별시,구로구,고척제2동,28334
2019,1153074000,서울특별시,구로구,개봉제1동,32720
2019,1153075000,서울특별시,구로구,개봉제2동,32523
2019,1153076000,서울특별시,구로구,개봉제3동,21500
2019,1153077000,서울특별시,구로구,오류제1동,22563
2019,1153078000,서울특별시,구로구,오류제2동,52659
2019,1153079000,서울특별시,구로구,수궁동,24523
2019,1154551000,서울특별시,금천구,가산동,21027
2019,1154561000,서울특별시,금천구,독산제1동,41421
2019,1154562000,서울특별시,금천구,독산제2동,19444
2019,1154563000,서울특별시,금천구,독산제3동,25161
2019,1154564000,서울특별시,금천구,독산제4동,15996
2019,1154567000,서울특별시,금천구,시흥제1동,34335
2019,1154568000,서울특별시,금천구,시흥제2동,22541
2019,1154569000,서울특별시,금천구,시흥제3동,11360
2019,1154570000,서울특별시,금천구,시흥제4동,21360
2019,1154571000,서울특별시,금천구,시흥제5동,20165
2019,1156051500,서울특별시,영등포구,영등포본동,21950
2019,1156053500,서울특별시,영등포구,영등포동,26450
2019,1156054000,서울특별시,영등포구,여의동,34222
