school_code,seoutguse_gubun,hr_operation_krw,student_welfare_krw,edu_activity_support_krw,general_operation_krw,facility_expansion_krw,financial_activity_krw,fiscal_year
S090001314,예산세출,6230000,298729000,47605000,213847000,0,0,2025
S090001315,예산세출,5100000,1458193000,52864000,525585000,0,150000,2025
S090001316,예산세출,4805000,767224000,58644000,350035000,0,0,2025
S090001317,예산세출,4190000,416105000,40460000,294569000,0,0,2025
S090001318,예산세출,8040000,671791000,43648000,310423000,0,0,2025
S090001380,예산세출,4650000,604621000,37150000,374680000,0,35670000,2025
S090001381,예산세출,5070000,537389000,37786000,259330000,0,0,2025
S090001382,예산세출,800000,451662000,30972000,258006000,114576000,0,2025
S090001383,예산세출,6650000,302345000,32743000,279884000,0,0,2025
S090001384,예산세출,6420000,631212000,51929000,321397000,0,0,2025
S090001385,예산세출,6100000,834534000,67500000,307275000,0,0,2025
S090001386,예산세출,2140000,353020000,57661000,222348000,0,0,2025
S090001387,예산세출,8230000,711268000,53590000,389596000,0,0,2025
S090001388,예산세출,8738000,249691000,33050000,292027000,0,0,2025
S090001389,예산세출,3150000,634062000,37891000,295430000,0,0,2025
S090001390,예산세출,5040000,672707000,95916000,285225000,0,0,2025
S090001391,예산세출,1050000,433036000,52500000,295696000,0,0,2025
S090001392,예산세출,8670000,549803000,31869000,295941000,0,0,2025
S090001393,예산세출,3360000,637863000,63668000,222941000,0,5000000,2025
S090001394,예산세출,1200000,145414000,21580000,249573000,0,0,2025
S090001395,예산세출,1970000,246520000,26181000,236707000,0,1000000,2025
S090001396,예산세출,10460000,840355000,56874000,282165000,0,0,2025
S090001397,예산세출,13500000,816557000,54720000,404970000,0,0,2025
S090001399,예산세출,7300000,742385000,62281000,356671000,0,0,2025
S090001400,예산세출,2460000,359266000,33404000,244566000,0,0,2025
S090001401,예산세출,5060000,497292000,36748000,266126000,0,0,2025
S090001403,예산세출,2550000,354934000,50454000,294311000,0,0,2025
S090001404,예산세출,3680000,315002000,37100000,313082000,0,300000,2025
S090001405,예산세출,6150000,511703000,47538000,276609000,0,1000,2025
S090001406,예산세출,4310000,450042000,59585000,269511000,0,0,2025
S090001407,예산세출,5290000,1041938000,47374000,395942000,0,8000000,2025
S090001408,예산세출,10320000,386000000,40208000,351815000,0,13900000,2025
S090001409,예산세출,37580000,1049133000,92354000,379183000,0,0,2025
S090001410,예산세출,1800000,515470000,56628000,273072000,0,0,2025
S090001413,예산세출,14516000,628641000,93629000,271164000,0,0,2025
S090001498,예산세출,8250000,816465000,50480000,406353000,0,0,2025
S090001499,예산세출,3830000,172378000,18888000,229424000,0,0,2025
S090001501,예산세출,6390000,764785000,53153000,370608000,0,0,2025
S090001502,예산세출,8700000,690043000,81267000,225601000,0,0,2025
S090001503,예산세출,6980000,170322000,32842000,232355000,0,5000000,2025
S090001504,예산세출,2420000,52000000,10200000,229685000,0,0,2025
S090001505,예산세출,6740000,598635000,49908000,334121000,0,3000000,2025
S090001506,예산세출,4686000,742885000,48851000,394818000,0,0,2025
S090001507,예산세출,3452000,43258000,21755000,203393000,0,0,2025
S090001508,예산세출,4800000,591022000,31738000,338314000,0,0,2025
S090001509,예산세출,6200000,395745000,22813000,319875000,0,0,2025
S090001512,예산세출,5860000,568503000,37704000,284594000,0,0,2025
S090001514,예산세출,6575000,472591000,67878000,252536000,0,100000,2025
S090001516,예산세출,3860000,746785000,66155000,327189000,0,0,2025
S090001517,예산세출,11800000,466305000,20622000,285280000,0,0,2025
S090001518,예산세출,2355000,134703000,13628000,235427000,0,0,2025
S090001519,예산세출,5570000,132957000,16000000,200327000,0,500000,2025
S090001520,예산세출,6400000,396573000,52666000,304220000,0,0,2025
S090001521,예산세출,11360000,169953000,20104000,209544000,0,0,2025
S090001522,예산세출,13070000,1533053000,68114000,474674000,0,0,2025
S090001523,예산세출,4900000,184605000,23302000,239331000,0,30000,2025
S090001525,예산세출,7950000,1312831000,111904000,438318000,0,58839000,2025
S090001527,예산세출,8900000,1065218000,66775000,387715000,0,0,2025
S090001528,예산세출,3570000,272457000,28266000,255702000,0,0,2025
S090001529,예산세출,7256000,378853000,61440000,187403000,0,0,2025
S090001600,예산세출,9600000,613243000,61598000,233472000,0,0,2025
S090001601,예산세출,3620000,107794000,24175000,213807000,0,0,2025
S090001603,예산세출,25139000,1612791000,87750000,494665000,0,0,2025
S090001604,예산세출,5030000,387474000,27729000,288895000,0,0,2025
S090001605,예산세출,10000000,567322000,46304000,307440000,0,0,2025
S090001606,예산세출,5880000,557259000,37620000,327652000,0,0,2025
S090001607,예산세출,7440000,732267000,56041000,349207000,0,0,2025
S090001608,예산세출,8200000,684723000,49959000,311543000,0,0,2025
S090001609,예산세출,6810000,57023000,58741000,172778000,0,0,2025
S090001611,예산세출,4910000,279957000,39224000,295236000,0,5000,2025
S090001612,예산세출,3950000,658227000,48010000,318278000,0,0,2025
S090001613,예산세출,4330000,199784000,31560000,260995000,0,0,2025
S090001614,예산세출,11186000,694958000,48894000,313392000,0,0,2025
S090001615,예산세출,9700000,906513000,51624000,414656000,0,0,2025
S090001616,예산세출,3860000,197652000,40860000,196743000,0,0,2025
S090001617,예산세출,6280000,664511000,49428000,298279000,0,4000,2025
S090001618,예산세출,6440000,424085000,37532000,334701000,0,0,2025
S090001619,예산세출,4080000,154470000,27288000,204056000,0,0,2025
S090001620,예산세출,4200000,153952000,9671000,223822000,0,0,2025
S090001621,예산세출,9100000,361975000,21198000,194350000,0,3000,2025
S090001622,예산세출,6650000,309379000,43388000,331812000,0,0,2025
S090001624,예산세출,5460000,775676000,42560000,375480000,0,0,2025
S090001625,예산세출,9850000,262499000,15344000,287010000,0,0,2025
S090001626,예산세출,7420000,736087000,59684000,286835000,0,0,2025
S090001627,예산세출,3290000,444786000,22344000,318041000,0,0,2025
S090001628,예산세출,11400000,725591000,58923000,477060000,0,0,2025
S090001629,예산세출,3000000,806056000,39890000,377289000,0,0,2025
S090001632,예산세출,4200000,967789000,114733000,352524000,0,0,2025
S090001634,예산세출,9360000,600286000,70649000,349578000,0,0,2025
S090001635,예산세출,13260000,560007000,54429000,311996000,5000000,0,2025
S090001638,예산세출,8170000,179145000,61572000,371745000,0,0,2025
S090001639,,0,0,0,0,0,0,2025
S090001640,예산세출,8310000,494216000,56890000,335172000,0,0,2025
S090001644,예산세출,4700000,382556000,25300000,297170000,0,0,2025
S090001645,예산세출,13150000,814113000,69921000,357365000,0,0,2025
S090001646,예산세출,2750000,269661000,23150000,290386000,0,0,2025
S090001648,예산세출,14000000,701243000,47317000,306588000,0,0,2025
S090001649,예산세출,5150000,743055000,64113000,366287000,200000,0,2025
S090001650,예산세출,4450000,486362000,22036000,313258000,0,0,2025
S090001651,예산세출,10080000,686231000,49450000,377764000,0,0,2025
S090001652,예산세출,4270000,115599000,17940000,231285000,0,0,2025
S090001653,예산세출,11900000,413560000,29255000,309723000,1500000,0,2025
S090001654,예산세출,4800000,758024000,50341000,327851000,0,0,2025
S090001655,예산세출,7208000,676584000,76907000,320339000,0,0,2025
S090001657,예산세출,5720000,399069000,25736000,341626000,0,0,2025
